t_id,_acuerdo,exactitud_horizontal,_puntotipo,comienzo_vida_util_version,x,y,z,espacio_de_nombres,local_id, orden
0,Acuerdo,1,VERTICE,2019-10-16T10:25:09,-74.06724462,4.614022546,0,OP_PUNTOLINDERO,a,1
4,Acuerdo,1,VERTICE,2019-10-16T10:25:09,-74.06717488,4.614218612,0,OP_PUNTOLINDERO,b,2
6,Acuerdo,1,VERTICE,2019-10-16T10:25:09,-74.06726791,4.614260089,0,OP_PUNTOLINDERO,c,3
9,Acuerdo,1,VERTICE,2019-10-16T10:25:09,-74.06740466,4.614323548,0,OP_PUNTOLINDERO,d,4
14,Acuerdo,1,VERTICE,2019-10-16T10:25:09,-74.06751662,4.614026769,0,OP_PUNTOLINDERO,e,5
15,Acuerdo,1,VERTICE,2019-10-16T10:25:09,-74.06746587,4.614013603,0,OP_PUNTOLINDERO,f,6
16,Acuerdo,1,VERTICE,2019-10-16T10:25:10,-74.06742749,4.614003648,0,OP_PUNTOLINDERO,g,7
20,Acuerdo,1,VERTICE,2019-10-16T10:25:10,-74.06749778,4.61372791,0,OP_PUNTOLINDERO,h,8
21,Acuerdo,1,VERTICE,2019-10-16T10:25:10,-74.06744819,4.613739189,0,OP_PUNTOLINDERO,i,9
24,Acuerdo,1,VERTICE,2019-10-16T10:25:10,-74.06741192,4.613870544,0,OP_PUNTOLINDERO,j,10
26,Acuerdo,1,VERTICE,2019-10-16T10:25:10,-74.06738397,4.61397175,0,OP_PUNTOLINDERO,k,11
28,Acuerdo,1,VERTICE,2019-10-16T10:25:10,-74.06734252,4.613961098,0,OP_PUNTOLINDERO,l,12
29,Acuerdo,1,VERTICE,2019-10-16T10:25:11,-74.06727311,4.613943261,0,OP_PUNTOLINDERO,m,13
30,Acuerdo,1,VERTICE,2019-10-16T10:25:11,-74.06724462,4.614022546,0,OP_PUNTOLINDERO,n,14
